name,price,image_url,description
BROOKESIA 絲柔持妝氣墊粉餅（霧面）1號 #Pale Peach,NT$599,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11103769/0/639015364349030000?v=1,
BROOKESIA 淨膚校色防曬妝前乳,NT$499,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11095101/0/639015364330900000?v=1,
Solone柔紗精粹粉底液C15亮白膚,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086511/0/639015360259000000?v=1,
MEKO肌密柔霧定妝蜜粉-N00光透白/EB-097,NT$439,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086508/0/639015360259000000?v=1,
Za輕透柔霧紫蜜粉餅,NT$272,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086503/0/639015364297670000?v=1,
MEKO肌密柔霧定妝蜜粉-N01白皙裸/EB-098,NT$439,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086502/0/639015360259000000?v=1,
MEKO肌密柔霧定妝蜜粉-N02自然膚/EB-099,NT$439,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086489/0/639015360259000000?v=1,
ettusais艾杜紗 一拍柔霧無瑕蜜粉餅6.5g,NT$650,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11086488/0/639015360259000000?v=1,
Za美白防曬隔離霜N01提亮白 （線條小狗聯名款）,NT$255,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11069595/0/639015364468130000?v=1,
Za美白防曬隔離霜N02透亮紫 （線條小狗聯名款）,NT$255,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11069593/0/639015364468770000?v=1,
【日本ZEFF】亮澤膚色嫩白修飾毛孔極簡裸妝日用偽素顏霜45g/盒（賴床懶人妝，學生上課妝容，打底護膚妝前乳，萬用美妝面霜，377淨白保養精華）_廠商直送,NT$1189,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11055880/0/639011054315830000?v=1,
【AUS LIFE 澳思萊】晶透亮白全天候素顏霜 30ml,NT$580,//img.91app.com/webapi/imagesV3/Cropped/SalePage/11021484/0/639011096081400000?v=1,
凱婷 毛孔神隱妝前乳（混合肌）,NT$390,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10995217/0/639010917837330000?v=1,
凱婷 毛孔神隱妝前乳（油性肌）,NT$390,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10995214/0/639010917837330000?v=1,
凱婷 毛孔神隱妝前乳（乾性肌）,NT$390,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10995211/0/639010917837330000?v=1,
CLIO珂莉奧 羽緻無限緞光氣墊粉餅袖珍版SPF50＋， PA＋＋＋ （23N自然色）,NT$520,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10982441/0/639015378192130000?v=1,
CLIO珂莉奧 羽緻無限緞光氣墊粉餅袖珍版SPF50＋， PA＋＋＋ （21N明亮色）,NT$520,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10982440/0/639015378167000000?v=1,
CLIO珂莉奧 羽緻無限緞光氣墊粉餅-哈利波特限定版 SPF50＋， PA＋＋＋ （23N自然色）,NT$1200,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10982437/0/639015360259000000?v=1,
CLIO珂莉奧 羽緻無限緞光氣墊粉餅-哈利波特限定版 SPF50＋， PA＋＋＋ （21N明亮色）,NT$1200,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10982434/0/639015360259000000?v=1,
蘇菲娜漾緁空氣感絲滑無瑕粉餅 OC01 9.7g,NT$419,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978337/0/639015360259000000?v=1,
INTEGRATE櫻特芮 粉底液OC20一字粉底刷組,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978336/0/639015360259000000?v=1,
MKUP 絕對水光持久粉底液-02自然色,NT$663,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978334/0/639015364815070000?v=1,
MKUP 絕對水光持久粉底液-01白皙色,NT$663,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978312/0/639015364805030000?v=1,
蘇菲娜漾緁空氣感絲滑無瑕粉餅 PO01 9.7g,NT$419,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978308/0/639015360259000000?v=1,
蘇菲娜漾緁空氣感絲滑無瑕粉餅 OC03 9.7g,NT$419,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978307/0/639015363617430000?v=1,
蘇菲娜漾緁水感控油校色粧前乳 透嫩粉 25ml,NT$379,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978303/0/639015360259000000?v=1,
蘇菲娜漾緁空氣感絲滑無瑕粉餅 PO03 9.7g,NT$419,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978297/0/639015360259000000?v=1,
蘇菲娜漾緁透膚感控油襯粧蜜粉 12g,NT$489,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978295/0/639015360259000000?v=1,
蘇菲娜漾緁水感控油校色粧前乳 光圈橘 25ml,NT$379,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978291/0/639015360259000000?v=1,
蘇菲娜漾緁水感控油校色粧前乳 白皙綠 25ml,NT$379,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10978288/0/639015360259000000?v=1,
espoir 迪士尼 遮瑕氣墊#20 13g*2,NT$1129,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796269/0/639015365242270000?v=1,
espoir Be Glow 水光氣墊_#22 Petal 13g,NT$799,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796247/0/639015365239370000?v=1,
espoir Be Glow 水光氣墊_#23 Beige 13g,NT$799,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796246/0/639015365240270000?v=1,
espoir Be Glow 水光氣墊_#21 Ivory 13g,NT$799,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796232/0/639015365569730000?v=1,
espoir 迪士尼 遮瑕氣墊#23 13g*2,NT$1129,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796206/0/639015365567200000?v=1,
espoir 迪士尼 遮瑕氣墊#21 13g*2,NT$1129,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796203/0/639015365565570000?v=1,
espoir Be Glow 水光氣墊_#20 Vanilla 13g,NT$799,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796199/0/639015365565970000?v=1,
espoir 迪士尼 遮瑕氣墊#22 13g*2,NT$1129,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796194/0/639015365564600000?v=1,
espoir 水潤保濕清爽防曬精華 50ml,NT$629,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796190/0/639015365563070000?v=1,
［espoir x 迪士尼］ 鎖水神經酰胺防曬霜 60ml,NT$599,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10796151/0/639015365561130000?v=1,
KOSE美顏定格控油蜜粉PLUS,NT$306,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10788605/0/639015365521070000?v=1,
Za煥彩亮妍潤色UV防曬乳#米杏色,NT$400,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10788604/0/639015365520430000?v=1,
Za煥彩亮妍潤色UV防曬乳#丁香紫,NT$400,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10788602/0/639015365518830000?v=1,
Za無瑕柔焦控油粉餅（蕊）#PO10,NT$360,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10764219/0/639015360259000000?v=1,
Za無瑕柔焦控油粉餅（蕊）#OC00,NT$360,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10764214/0/639015360259000000?v=1,
Za無瑕柔焦控油粉餅（蕊）#OC10,NT$360,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10764213/0/639015360259000000?v=1,
MAYBELLINE媚比琳FIT ME遮遮稱奇遮瑕膏 01 蜜桃色,NT$350,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10698432/0/639015360259000000?v=1,
【澳洲 EAORON】新一代 卡卡杜李肌肽素顏霜 50g,NT$599,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10695331/0/639011130037270000?v=1,
凱婷 極致零瑕光粉餅 06,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685581/0/639010917774470000?v=1,
Solone雪紗柔霧嫩粉餅35自然,NT$399,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685572/0/639015360259000000?v=1,
凱婷 極致零瑕光粉餅 03,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685569/0/639010917774470000?v=1,
Solone雪紗柔霧嫩粉餅15白皙,NT$399,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685551/0/639015360259000000?v=1,
Solone雪紗柔霧嫩粉餅25柔膚,NT$399,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685540/0/639015360259000000?v=1,
凱婷 極致零瑕光粉餅 04,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685537/0/639010917774470000?v=1,
凱婷 極致零瑕光粉餅 00,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685536/0/639010917774470000?v=1,
Millis 米妮系列瀏海蓬蓬蜜粉 4.5g,NT$199,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685531/0/639015365806700000?v=1,
凱婷 極致零瑕光粉餅 02,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685525/0/639010917774470000?v=1,
Solone水感潤透防曬隔離凝乳,NT$350,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685524/0/639015358079430000?v=1,
凱婷 極致零瑕光粉餅 01,NT$450,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685523/0/639010917774470000?v=1,
Solone極致裸肌氣墊粉餅N30裸紗膚,NT$550,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685521/0/639015360259000000?v=1,
IMMEME我愛磨皮柔焦蜜粉 大耳狗限定版,NT$590,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685519/0/639010917774470000?v=1,
Solone極致裸肌氣墊粉餅N20柔瓷膚,NT$550,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10685518/0/639015360259000000?v=1,
MEKO荒漠柔影無痕遮瑕膏Green奶灰綠/EB-095,NT$279,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682367/0/639015360259000000?v=1,
MEKO荒漠柔影無痕遮瑕膏Peach蜜桃橘/EB-096,NT$279,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682361/0/639015360259000000?v=1,
MEKO荒漠柔影無痕遮瑕膏C01白皙膚/EB-094,NT$279,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682343/0/639015360259000000?v=1,
IMMEME我愛神力磨皮粉底液 01明亮色,NT$590,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682335/0/639010917774470000?v=1,
MEKO荒漠柔影無痕遮瑕膏W01明亮膚/EB-093,NT$279,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682320/0/639015360259000000?v=1,
IMMEME我愛神力磨皮粉底液 02自然色,NT$590,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682305/0/639010917774470000?v=1,
1028 Oil Block!超吸油嫩蜜粉EX 嫩紫,NT$290,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682304/0/639015360259000000?v=1,
SOFINA蘇菲娜iP輕瑩高效美容防曬乳03光透亮,NT$720,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682283/0/639015360259000000?v=1,
1028 Oil Block!超吸油嫩蜜粉EX 柔膚,NT$290,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682196/0/639015360259000000?v=1,
1028 肌霧光持妝氣墊粉餅 SPF50＋ ★★★ 120 柔膚,NT$620,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682181/0/639015360259000000?v=1,
1028 Oil Block!超吸油嫩蜜粉EX 透明,NT$290,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682178/0/639015360259000000?v=1,
1028 肌霧光持妝氣墊粉餅 SPF50＋ ★★★ 100 白皙,NT$620,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10682166/0/639015360259000000?v=1,
ETUDE雲朵輕盈完美氣墊#19白皙色,NT$750,//img.91app.com/webapi/imagesV3/Cropped/SalePage/10662036/0/639015360259000000?v=1,
